id,position,description,category_id
0,0,adventure,29
1,0,boggle,29
2,0,backgammon,29
3,0,atc,29
4,0,battlestar,29
5,0,worm,29
6,0,nethack-console,29
7,0,zangband,29
8,0,ninvaders,29
9,0,greed,29
10,0,moon-buggy,29
11,0,"Create file",37
12,0,"Delete file",37
13,0,"Display file content",37
14,0,"Edit text file",37
15,0,"Copy file or folder",37
16,0,"Move/Rename file or folder",37
17,0,"Create folder",37
18,0,"Delete folder",37
19,0,"List folder contents",37
20,0,"Change folder",37
21,0,"Change to users home directory",37
22,0,"Change to parent directory",37
23,0,"Change to previous directory",37
24,0,"Show current folder",37
25,0,"Create a physical link to file or folder",37
26,0,"Find phrase within file",37
27,0,"Get filesystem of partition",37
28,0,"Mount filesystem",37
29,0,"Unmount filesystem",37
30,0,"Make file executable ",37
31,0,"Show size of all sub directories",37
32,0,"Display and update information of files(like top)",37
33,0,"List trash files",37
34,0,"Empty trash",37
35,0,"Move file to trash",37
36,0,"View file permission",37
37,0,"Set file permission",37
38,0,"View owner and group of file",37
39,0,"Change owner of file",37
40,0,"Change group owner ship of file",37
41,0,"CPU usage in percentage",246
42,0,"Laptop battery in percentage",246
43,0,"Bluetooth MAC address",246
44,0,"Bluetooth name",246
45,0,"Network interfaces",246
46,0,"Memory information",246
47,0,"Info about the linux system",246
48,0,"PCI devices",246
49,0,"USB devices",246
50,0,"Block devices (except RAM disks) in a tree-like format",246
51,0,"External ip",243
52,0,"Uptime of machine",246
53,0,"Disk usage info",246
54,0,"Bootlog info",246
55,0,"Show a small months calender",246
56,0,"Lock screen",21
57,0,"Unlock screen",21
58,0,"Reboot the system",21
59,0,"Shutdown the system",21
60,0,"Shutdown the system at specific time",21
61,0,"Stop bluetooth service",21
62,0,"Start bluetooth service",21
63,0,"Stop wifi service",21
64,0,"Start wifi service",21
65,0,"Turn off monitor",21
66,0,"Take screenshot of the desktop",43
67,0,"Take webcam photo",43
68,0,"Play text by computer voice",43
69,0,"Play sound file in wav format",43
70,0,"The classical way to play a beep sound through the PC speakers",43
71,0,"Mute volume",43
72,0,"Turn images to a video sequence",43
73,0,"Turn a video to images",43
74,0,"Convert sound from a video to mp3",43
75,0,"Convert mpg to avi",43
76,0,"Convert avi to mpg",43
77,0,"Convert avi to flv",43
78,0,"Convert avi to animated gif",43
79,0,"Get wifi password",243
80,0,"List network interfaces",243
81,0,"Download file",243
82,0,"Get information about domain",243
83,0,"Ping to another device",243
84,0,"Configure network interface",243
85,0,"Show the hostname of your box",243
86,0,"Trace the path that a packet takes to its destination",243
87,0,"Telnet connection",243
88,0,"DNS lookup and display server answer",243
89,0,"Release ip and get a new one from DHCP",243
90,0,"List open sockets",243
91,0,"Find a file by name",179
92,0,"Find all path names containing a phrase",179
93,0,"Find the path of an executable",179
94,0,"Find location of binary/source/man files for a command",179
95,0,"Search for pattern in output of command",179
96,0,"Find files whose content was modified less than 60 minutes ago",179
97,0,"Find files whose status was changed less than 60 minutes ago",179
98,0,"FInd all files which are accessed 7 days back",179
99,0,"Search for pattern in file",179
100,0,"Find all files which are greater than 10MB and less than 100MB",179
101,12,"Create group",247
102,11,"Delete group",247
103,10,"Rename group",247
104,9,"Create user",247
105,8,"Delete user",247
106,7,"Rename user",247
107,6,"Set user password",247
108,5,"Grant sudo privileges to an existing user",247
109,4,"User information",247
110,3,"Add existing user to group",247
111,2,"Add new user to group",247
112,1,"Remove user from group",247
113,0,"List all groups",247
114,0,"List all users",247
115,0,"Exploitation tools",248
116,0,"Password attacks",248
117,0,Forensics,248
118,0,Sniffing/Spoofing,248
119,0,"Information gathering",248
120,0,"Vulnerability analyses",248
121,0,"Web application analysis",248
122,0,Databases,248
123,0,"Wireless attack",248
124,0,"Reporting tools",248
125,0,"Install from repository",249
126,0,"Install from file",249
127,0,Remove/Uninstall,249
128,0,"Find a package",249
129,0,"View package info",249
130,0,"Update package lists",249
131,0,"Upgrade installed packages",249
132,0,"Add repository source",249
1158,0,"End session",251
1159,1,"SOCKS5 proxying",251
1160,2,"TCP Port Forwarding",251
1161,3,"X11 Session Forwarding",251
1162,4,"Run a command and exit",251
1163,5,"Generate SSH key",251
1164,6,"Connect to host",251
1165,0,"Clone an existing repository",252
1166,0,"Initialize new version-controlled project",252
1167,0,"Save changes to the repository",252
1168,0,"Current state of the repository",252
1169,0,"Create a new branch",252
1170,0,"List all remote or local branches",252
1171,0,"Delete a branch",252
1172,0,"Merge changes into current branch",252
1173,0,"Checkout an existing branch",252
1174,0,"Checkout and create a new branch with that name",252
1175,0,"Create a tag",252
1176,0,"Delete the tag",252
1177,0,"Push tags",252
1178,0,"Get the latest version of a repository",252
1179,0,"Add remote repository",252
1180,0,"Define the author name to be used for all commits",252
1181,0,"Define the author email to be used for all commits",252
1182,0,"Helpful guides that come with Git",252
1183,0,"Undo the previous commit",252
1184,0,"Forget about files that were tracked but are now in .gitignore",252
1185,0,"Send local commits to the remote repository",252
1186,0,"Store current work with untracked files",252
1187,0,"Bring stashed work back to the working directory",252
1188,0,"Remove a file from the working index (cached)",252
1189,0,"Delete a file (force)",252
1190,0,"Remove an entire directory from the working index (cached)",252
1191,0,"Delete an entire directory (force)",252
1192,0,"Delete a remote branch",252
1193,0,"Print a file",209
1194,0,"View printing queue",209
1195,0,"Cancel printing job",209
1196,0,"Display printer status",209
1197,0,"Enable printer",209
1198,0,"Disable printer",209
1199,0,"File management",253
1200,0,Navigation,253
1201,0,Insertion,253
1202,0,Editing,253
1203,0,"Search and replace",253
1204,0,"Multiple windows",253
1205,0,"Basic usage",254
1206,0,Buffers,254
1207,0,Navigation,254
1208,0,"Other stuff",254
1209,0,Info,255
1210,0,Navigation,255
1211,0,Input/Ouput,255
1212,0,Editing,255
1213,10,Navigation,256
1214,0,"Basic usage",256
1215,0,Input/Output,256
1216,0,Miners,257
1217,0,Wallets,257
1218,0,"Trading bots",257
1219,0,"Copy to clipboard",258
1220,0,"Read clipboard",258
1221,0,"Move mouse absolute",258
1222,0,"Move mouse relative",258
1223,0,"Click mouse",258
1224,0,"Type text",258
1225,0,"Type keystroke",258
1226,0,"Pretty print",259
1227,0,Select,259
1228,0,Put,259
1229,0,Delete,259
1230,0,Create,259
1231,0,"Push file",251
1232,0,"Pull file",251
1233,0,"Coin tracker",257
1235,0,rogue,29
1236,0,sudoku,29
1237,0,2048,29
1238,0,pacman,29
1239,0,"Convert gif to webp",43
1240,0,"Convert png/jpg to webp",43
1241,0,mines,29
1242,0,battleship,29
1243,0,checkers,29
1244,0,fifteen,29
1245,0,memory,29
1246,0,pipes,29
1247,0,reversi,29
1248,0,sos,29
1399,1204,"Run the last command as root",250
1400,839,"Serve current directory tree at http://$HOSTNAME:8000/",250
1401,564,"Runs previous command but replacing",250
1402,541,"Rapidly invoke an editor to write a long, complex, or tricky command",250
1403,345,"Place the argument of the most recent command on the shell",250
1404,324,"currently mounted filesystems in nice layout",250
1405,318,"Salvage a borked terminal",250
1406,272,"Get your external IP address",250
1407,263,"Execute a command at a given time",250
1408,248,"Quick access to the ascii table.",250
1409,227,"output your microphone to a remote computer's speaker",250
1410,219,"type partial command, kill this command, check something you forgot, yank the command, resume typing.",250
1411,209,"Query Wikipedia via console over DNS",250
1412,206,"Mount folder/filesystem through SSH",250
1413,198,"Mount a temporary ram partition",250
1414,192,"Download an entire website",250
1415,185,"Clear the terminal screen",250
1416,173,"Compare a remote file with a local file",250
1417,166,"SSH connection through host in the middle",250
1418,165,"Update twitter via curl",250
1419,162,"A very simple and useful stopwatch",250
1420,144,"Put a console clock in top right corner",250
1421,144,"Make 'less' behave like 'tail -f'.",250
1422,143,"Close shell keeping all subprocess running",250
1423,142,"Watch Star Wars via telnet",250
1424,121,"32 bits or 64 bits?",250
1425,120,"List of commands you use most often",250
1426,119,"Simulate typing",250
1427,118,"Set audible alarm when an IP address comes online",250
1428,110,"Reboot machine when everything is hanging",250
1429,107,"quickly rename a file",250
1430,105,"Display the top ten running processes - sorted by memory usage",250
1431,102,"Delete all files in a folder that don't match a certain file extension",250
1432,102,"Push your present working directory to a stack that you can pop later",250
1433,101,"Create a script of the last executed command",250
1434,100,"Watch Network Service Activity in Real-time",250
1435,99,"Easy and fast access to often executed commands that are very long and complex.",250
1436,99,"escape any command aliases",250
1437,97,"Show apps that use internet connection at the moment. (Multi-Language)",250
1438,97,"diff two unsorted files without creating temporary files",250
1439,95,"Reuse all parameter of the previous command line",250
1440,93,"Backticks are evil",250
1441,93,"Sharing file through http 80 port",250
1442,92,"Show File System Hierarchy",250
1443,92,"Display a block of text with AWK",250
1444,88,"Set CDPATH to ease navigation",250
1445,86,"save command output to image",250
1446,86,"Add Password Protection to a file your editing in vim.",250
1447,84,"Remove duplicate entries in a file without sorting.",250
1448,81,"Copy your SSH public key on a remote machine for passwordless login - the easy way",250
1449,79,"Find Duplicate Files (based on size first, then MD5 hash)",250
1450,79,"Kills a process that is locking a file.",250
1451,76,"Insert the last command without the last argument (bash)",250
1452,76,"python smtp server",250
1453,76,"Display which distro is installed",250
1454,70,"Find the process you are looking for minus the grepped one",250
1455,70,"Extract tarball from internet without local saving",250
1456,68,"Copy your ssh public key to a server from a machine that doesn't have ssh-copy-id",250
1457,67,"Matrix Style",250
1458,67,"replace spaces in filenames with underscores",250
1459,67,"Rip audio from a video file.",250
1460,65,"Google Translate",250
1461,65,"Inserts the results of an autocompletion in the command line",250
1462,64,"Rapidly invoke an editor to write a long, complex, or tricky command",250
1463,62,"A fun thing to do with ram is actually open it up and take a peek. This command will show you all the string (plain text) values in ram",250
1464,60,"Graphical tree of sub-directories",250
1465,58,"intercept stdout/stderr of another process",250
